אורתופדיה אחרי דה-דופליקציה,Trimmed,,ProcedureBody - HTML,ProcedurePreview - String (MAX-LENGTH: 140 CHAR),ProcedureHeader -String (MAX-LENGTH: 30 CHAR),Preview length,ID,Header length,New ProcedureHeader (if long etc.),New name length
ייעוץ למדרסים ואביזרי תמיכה אורתופדים,ייעוץ למדרסים ואביזרי תמיכה אורתופדים,1656,"<div class=""procedure-content""><h3 class=""procedure-head"">מהו ייעוץ למדרסים ואביזרי תמיכה?</h3><p class=""procedure-para"">ייעוץ זה מתמקד בהתאמה אישית של מדרסים ואביזרי תמיכה לשיפור יציבה ותפקוד.</p><h3 class=""procedure-head"">מתי נדרש ייעוץ?</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאבים כרוניים ברגליים או בגב</li><li class=""procedure-li"">בעיות יציבה</li><li class=""procedure-li"">דפורמציות בכף הרגל</li><li class=""procedure-li"">פציעות ספורט חוזרות</li></ul><h3 class=""procedure-head"">תהליך הייעוץ</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">ניתוח הליכה ויציבה</li><li class=""procedure-li"">סקירת היסטוריה רפואית</li><li class=""procedure-li"">המלצה על סוג המדרס או אביזר התמיכה</li></ol><h3 class=""procedure-head"">סוגי פתרונות</h3><ul class=""procedure-ul""><li class=""procedure-li"">מדרסים מותאמים אישית</li><li class=""procedure-li"">תומכי קשת</li><li class=""procedure-li"">חגורות גב</li><li class=""procedure-li"">מקבעי מפרקים</li></ul></div>",ייעוץ למדרסים ואביזרי תמיכה אורתופדים מספק פתרונות מותאמים אישית לבעיות יציבה וכאב. כולל בדיקה מקיפה והמלצות על אביזרי תמיכה מתאימים.,ייעוץ למדרסים ואביזרי תמיכה אורתופדים,133,1656,37,,0
ייעוצים אורתופדים,ייעוצים אורתופדים,1663,"<div class=""procedure-content""><h3 class=""procedure-head"">מהם ייעוצים אורתופדים?</h3><p class=""procedure-para"">ייעוצים אורתופדים הם פגישות עם מומחה אורתופדיה לאבחון וטיפול בבעיות שלד ושרירים.</p><h3 class=""procedure-head"">סוגי ייעוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">ייעוץ כללי</li><li class=""procedure-li"">ייעוץ ספציפי למפרק (ברך, ירך, כתף)</li><li class=""procedure-li"">ייעוץ לספורטאים</li><li class=""procedure-li"">ייעוץ לילדים ומתבגרים</li></ul><h3 class=""procedure-head"">מהלך הייעוץ</h3><ol class=""procedure-ol""><li class=""procedure-li"">תשאול מקיף על התלונות והיסטוריה רפואית</li><li class=""procedure-li"">בדיקה גופנית</li><li class=""procedure-li"">סקירת בדיקות הדמיה (אם יש)</li><li class=""procedure-li"">אבחון ותכנית טיפול</li></ol><h3 class=""procedure-head"">תוצאות הייעוץ</h3><p class=""procedure-para"">בסיום הייעוץ, המטופל יקבל:</p><ul class=""procedure-ul""><li class=""procedure-li"">אבחנה מדויקת</li><li class=""procedure-li"">המלצות לטיפול</li><li class=""procedure-li"">הפניות לבדיקות נוספות אם נדרש</li><li class=""procedure-li"">מעקב והמשך טיפול לפי הצורך</li></ul></div>","ייעוצים אורתופדים מספקים אבחון מקצועי ותכנית טיפול מותאמת אישית לבעיות שלד ושרירים. כוללים בדיקה מקיפה, אבחון, והמלצות טיפול.",ייעוצים אורתופדים,125,1663,17,,0
יציבה,יציבה,1694,"<div class=""procedure-content""><h3 class=""procedure-head"">חשיבות היציבה</h3><p class=""procedure-para"">יציבה נכונה חיונית לבריאות הגוף, מניעת כאבים ושיפור התפקוד היומיומי.</p><h3 class=""procedure-head"">בעיות יציבה נפוצות</h3><ul class=""procedure-ul""><li class=""procedure-li"">כתפיים שמוטות</li><li class=""procedure-li"">גב עגול (קיפוזיס)</li><li class=""procedure-li"">עקמת (סקוליוזיס)</li><li class=""procedure-li"">ראש קדמי</li></ul><h3 class=""procedure-head"">אבחון בעיות יציבה</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">ניתוח תנועה</li><li class=""procedure-li"">צילומי רנטגן במקרים מסוימים</li><li class=""procedure-li"">הערכת שיווי משקל ויציבות</li></ol><h3 class=""procedure-head"">טיפול ושיפור היציבה</h3><p class=""procedure-para"">תכנית טיפול עשויה לכלול:</p><ul class=""procedure-ul""><li class=""procedure-li"">תרגילי חיזוק ומתיחה</li><li class=""procedure-li"">טכניקות לשיפור המודעות הגופנית</li><li class=""procedure-li"">שימוש באביזרי תמיכה</li><li class=""procedure-li"">שינויים בסביבת העבודה והלימודים</li></ul></div>","טיפול ביציבה כולל אבחון מקצועי של בעיות יציבה ותכנית טיפול מותאמת אישית. מטרתו לשפר את היציבה, למנוע כאבים ולשפר את איכות החיים.",יציבה,128,1694,5,,0
ירך,ירך,1703,"<div class=""procedure-content""><h3 class=""procedure-head"">בעיות נפוצות במפרק הירך</h3><p class=""procedure-para"">מפרק הירך עלול לסבול ממגוון בעיות, כולל ארתריטיס, שברים, ודלקות.</p><h3 class=""procedure-head"">תסמינים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאב באזור המפשעה או הירך</li><li class=""procedure-li"">נוקשות ומגבלת תנועה</li><li class=""procedure-li"">צליעה</li><li class=""procedure-li"">נפיחות באזור המפרק</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית</li><li class=""procedure-li"">צילומי רנטגן</li><li class=""procedure-li"">MRI או CT במקרים מורכבים</li><li class=""procedure-li"">בדיקות דם לשלילת דלקת</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">אפשרויות הטיפול כוללות:</p><ul class=""procedure-ul""><li class=""procedure-li"">פיזיותרפיה וחיזוק שרירים</li><li class=""procedure-li"">תרופות נוגדות דלקת וכאב</li><li class=""procedure-li"">הזרקות סטרואידים</li><li class=""procedure-li"">ניתוח החלפת מפרק במקרים מתקדמים</li></ul></div>","טיפול בבעיות מפרק הירך כולל אבחון מדויק, טיפול שמרני או ניתוחי לפי הצורך, ושיקום מקיף. מטרתו להפחית כאב, לשפר תנועתיות ולשמר תפקוד.",ירך,131,1703,3,,0
כאב צוואר,כאב צוואר,1714,"<div class=""procedure-content""><h3 class=""procedure-head"">גורמים לכאבי צוואר</h3><p class=""procedure-para"">כאבי צוואר יכולים לנבוע ממגוון גורמים, כולל מתח שרירים, בעיות דיסק, או מחלות ניווניות.</p><h3 class=""procedure-head"">תסמינים נלווים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאב ונוקשות בצוואר</li><li class=""procedure-li"">הגבלת טווח התנועה</li><li class=""procedure-li"">כאבי ראש</li><li class=""procedure-li"">כאב מוקרן לכתפיים או לזרועות</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">הערכת טווח תנועה ורגישות</li><li class=""procedure-li"">בדיקות הדמיה: רנטגן, MRI</li><li class=""procedure-li"">בדיקות נוירולוגיות במידת הצורך</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">אפשרויות הטיפול כוללות:</p><ul class=""procedure-ul""><li class=""procedure-li"">פיזיותרפיה ותרגילי מתיחה</li><li class=""procedure-li"">טיפול תרופתי לשיכוך כאבים</li><li class=""procedure-li"">טיפולים ידניים כמו עיסוי או כירופרקטיקה</li><li class=""procedure-li"">שינויים ארגונומיים בסביבת העבודה</li></ul></div>","טיפול בכאבי צוואר כולל אבחון מקיף, זיהוי הגורם לכאב, וטיפול מותאם אישית. המטרה היא להקל על הכאב, לשפר את טווח התנועה ולמנוע הישנות.",כאב צוואר,131,1714,9,,0
כאבי גדילה,כאבי גדילה,1725,"<div class=""procedure-content""><h3 class=""procedure-head"">מהם כאבי גדילה?</h3><p class=""procedure-para"">כאבי גדילה הם כאבים שכיחים בילדים ומתבגרים, בדרך כלל בגפיים התחתונות, ללא סיבה ברורה.</p><h3 class=""procedure-head"">מאפיינים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאבים בשוקיים, ירכיים או מאחורי הברכיים</li><li class=""procedure-li"">מופיעים בעיקר בערב או בלילה</li><li class=""procedure-li"">בדרך כלל דו-צדדיים</li><li class=""procedure-li"">לא מלווים בסימני דלקת או נפיחות</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">תשאול מקיף על אופי הכאבים</li><li class=""procedure-li"">בדיקה גופנית</li><li class=""procedure-li"">לעתים בדיקות דם או הדמיה לשלילת בעיות אחרות</li></ol><h3 class=""procedure-head"">טיפול והקלה</h3><p class=""procedure-para"">דרכים להקלה על כאבי גדילה:</p><ul class=""procedure-ul""><li class=""procedure-li"">מתיחות קלות</li><li class=""procedure-li"">עיסוי עדין של האזור הכואב</li><li class=""procedure-li"">חימום מקומי</li><li class=""procedure-li"">תרופות נוגדות כאב במידת הצורך</li></ul></div>","טיפול בכאבי גדילה מתמקד באבחון נכון, הרגעת ההורים והילד, ומתן דרכים להקלה על הכאב. חשוב לוודא שאין מדובר בבעיה רפואית אחרת.",כאבי גדילה,123,1725,10,,0
כאבי גפיים,כאבי גפיים,1726,"<div class=""procedure-content""><h3 class=""procedure-head"">סוגי כאבי גפיים</h3><p class=""procedure-para"">כאבי גפיים יכולים לנבוע ממגוון סיבות, כולל בעיות שריר-שלד, בעיות עצביות, או מחלות מערכתיות.</p><h3 class=""procedure-head"">תסמינים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאב מקומי או מפושט</li><li class=""procedure-li"">נפיחות</li><li class=""procedure-li"">חולשה או תחושת כבדות</li><li class=""procedure-li"">שינויים בתחושה (נימול, עקצוץ)</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">בדיקות דם</li><li class=""procedure-li"">הדמיה: רנטגן, MRI, CT</li><li class=""procedure-li"">בדיקות אלקטרופיזיולוגיות במקרה הצורך</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">הטיפול תלוי בגורם הכאב ועשוי לכלול:</p><ul class=""procedure-ul""><li class=""procedure-li"">טיפול תרופתי לשיכוך כאבים</li><li class=""procedure-li"">פיזיותרפיה ותרגילי חיזוק</li><li class=""procedure-li"">טיפולים לא פולשניים כמו TENS</li><li class=""procedure-li"">התערבות ניתוחית במקרים מסוימים</li></ul></div>","טיפול בכאבי גפיים מתחיל באבחון מדויק של הגורם לכאב. הטיפול מותאם אישית ועשוי לכלול שילוב של טיפול תרופתי, פיזיותרפיה ושיטות נוספות.",כאבי גפיים,131,1726,10,,0
כאבי כף רגל,כאבי כף רגל,1727,"<div class=""procedure-content""><h3 class=""procedure-head"">סיבות נפוצות לכאבי כף רגל</h3><p class=""procedure-para"">כאבי כף רגל יכולים לנבוע ממגוון גורמים, כולל דלקות, פציעות, או בעיות מבניות.</p><h3 class=""procedure-head"">אזורים נפוצים לכאב</h3><ul class=""procedure-ul""><li class=""procedure-li"">עקב (דורבן)</li><li class=""procedure-li"">קשת כף הרגל</li><li class=""procedure-li"">אצבעות (יבלות, ציפורן חודרנית)</li><li class=""procedure-li"">כרית כף הרגל</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית של כף הרגל</li><li class=""procedure-li"">הערכת דפוס הליכה</li><li class=""procedure-li"">צילומי רנטגן או MRI במקרה הצורך</li><li class=""procedure-li"">בדיקת לחץ על כף הרגל</li></ol><h3 class=""procedure-head"">אפשרויות טיפול</h3><p class=""procedure-para"">הטיפול תלוי בסיבת הכאב ועשוי לכלול:</p><ul class=""procedure-ul""><li class=""procedure-li"">נעליים מתאימות ומדרסים</li><li class=""procedure-li"">תרגילי מתיחה וחיזוק</li><li class=""procedure-li"">טיפול פיזיקלי (קרח, חימום)</li><li class=""procedure-li"">טיפול תרופתי או הזרקות במקרים מסוימים</li></ul></div>","כאבים בכף הרגל הנגרמים ממגוון סיבות, כולל דלקות, פציעות, ובעיות מבניות",כאבי כף רגל,70,1727,11,,0
כאבי מפרקים,כאבי מפרקים,1729,"<div class=""procedure-content""><h3 class=""procedure-head"">סוגי כאבי מפרקים</h3><p class=""procedure-para"">כאבי מפרקים יכולים לנבוע ממגוון מצבים, כולל דלקת מפרקים, פציעות, או מחלות אוטואימוניות.</p><h3 class=""procedure-head"">תסמינים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאב ונוקשות במפרק</li><li class=""procedure-li"">נפיחות וחום מקומי</li><li class=""procedure-li"">הגבלה בטווח התנועה</li><li class=""procedure-li"">חולשה ועייפות</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">בדיקות דם לזיהוי דלקת ומחלות אוטואימוניות</li><li class=""procedure-li"">הדמיה: רנטגן, MRI, אולטרסאונד</li><li class=""procedure-li"">לעתים נדרשת ביופסיה של המפרק</li></ol><h3 class=""procedure-head"">גישות טיפוליות</h3><p class=""procedure-para"">הטיפול מותאם לסיבת הכאב ועשוי לכלול:</p><ul class=""procedure-ul""><li class=""procedure-li"">תרופות נוגדות דלקת וכאב</li><li class=""procedure-li"">פיזיותרפיה ותרגילי חיזוק</li><li class=""procedure-li"">הזרקות סטרואידים או חומצה היאלורונית</li><li class=""procedure-li"">טיפולים ביולוגיים במקרים של מחלות אוטואימוניות</li></ul></div>","כאבים במפרקים הנגרמים מדלקת, שחיקה, או פציעות, המשפיעים על תנועה ואיכות חיים",כאבי מפרקים,76,1729,11,,0
כאבי מפשעה,כאבי מפשעה,1730,"<div class=""procedure-content""><h3 class=""procedure-head"">גורמים לכאבי מפשעה</h3><p class=""procedure-para"">כאבי מפשעה יכולים לנבוע ממגוון סיבות, כולל בעיות שריר, מפרק הירך, או בקע.</p><h3 class=""procedure-head"">תסמינים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאב חד או עמום באזור המפשעה</li><li class=""procedure-li"">כאב המחמיר בתנועה</li><li class=""procedure-li"">נפיחות או רגישות מקומית</li><li class=""procedure-li"">הגבלה בטווח התנועה של הירך</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">בדיקות הדמיה: רנטגן, MRI</li><li class=""procedure-li"">בדיקות אולטרסאונד לזיהוי בקע</li><li class=""procedure-li"">לעתים נדרשות בדיקות דם</li></ol><h3 class=""procedure-head"">אפשרויות טיפול</h3><p class=""procedure-para"">הטיפול תלוי בגורם הכאב ועשוי לכלול:</p><ul class=""procedure-ul""><li class=""procedure-li"">מנוחה ושינוי בפעילות</li><li class=""procedure-li"">פיזיותרפיה ותרגילי חיזוק</li><li class=""procedure-li"">טיפול תרופתי לשיכוך כאבים</li><li class=""procedure-li"">ניתוח במקרים של בקע או פגיעה חמורה</li></ul></div>","כאבים באזור המפשעה הנגרמים ממגוון סיבות, כולל מתיחות שרירים, בקעים, ובעיות במפרק הירך",כאבי מפשעה,85,1730,10,,0
כאבים בכריות ועור קשה,כאבים בכריות ועור קשה,1741,"<div class=""procedure-content""><h3 class=""procedure-head"">סיבות לכאבים בכריות כף הרגל ועור קשה</h3><p class=""procedure-para"">כאבים אלו נגרמים לרוב מלחץ מתמשך, נעליים לא מתאימות, או שינויים במבנה כף הרגל.</p><h3 class=""procedure-head"">תסמינים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאב בכריות כף הרגל בעת הליכה או עמידה</li><li class=""procedure-li"">עור מעובה או יבלות</li><li class=""procedure-li"">סדקים בעור</li><li class=""procedure-li"">תחושת צריבה או עקצוץ</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית של כף הרגל</li><li class=""procedure-li"">הערכת דפוס הליכה ונעליים</li><li class=""procedure-li"">לעתים נדרשות בדיקות הדמיה</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">אפשרויות הטיפול כוללות:</p><ul class=""procedure-ul""><li class=""procedure-li"">שימוש בנעליים מתאימות ומדרסים</li><li class=""procedure-li"">הסרת עור קשה על ידי מומחה</li><li class=""procedure-li"">שימוש בקרמים מרככים</li><li class=""procedure-li"">טיפולים לשיפור זרימת הדם לכף הרגל</li></ul></div>",כאבים ואי-נוחות בכפות הרגליים הנגרמים מעור קשה ויבש או עיבוי של כריות כף הרגל,כאבים בכריות ועור קשה,77,1741,21,,0
כאבים בעקב,כאבים בעקב,1742,"<div class=""procedure-content""><h3 class=""procedure-head"">גורמים לכאבי עקב</h3><p class=""procedure-para"">כאבי עקב יכולים לנבוע מדורבן, דלקת ברצועה הפלנטרית, או בעיות במבנה כף הרגל.</p><h3 class=""procedure-head"">תסמינים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כאב חד בעקב, בעיקר בבוקר או אחרי מנוחה</li><li class=""procedure-li"">כאב המחמיר בעמידה ממושכת או הליכה</li><li class=""procedure-li"">רגישות בלחיצה על העקב</li><li class=""procedure-li"">נוקשות בכף הרגל</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית של כף הרגל והעקב</li><li class=""procedure-li"">צילומי רנטגן לזיהוי דורבן</li><li class=""procedure-li"">אולטרסאונד להערכת הרצועה הפלנטרית</li><li class=""procedure-li"">MRI במקרים מורכבים</li></ol><h3 class=""procedure-head"">אפשרויות טיפול</h3><p class=""procedure-para"">הטיפול תלוי בגורם הכאב ועשוי לכלול:</p><ul class=""procedure-ul""><li class=""procedure-li"">מתיחות ותרגילי חיזוק</li><li class=""procedure-li"">שימוש במדרסים ותמיכות לקשת כף הרגל</li><li class=""procedure-li"">טיפול בגלי הלם</li><li class=""procedure-li"">הזרקות סטרואידים במקרים מסוימים</li></ul></div>","כאבים בעקב הרגל הנגרמים ממגוון סיבות, כולל דורבן בעקב, דלקת ברצועה הפלנטרית, ובעיות מבניות",כאבים בעקב,90,1742,10,,0
כירוגיה של הברכיים,כירוגיה של הברכיים,1759,"<div class=""procedure-content""><h3 class=""procedure-head"">סוגי ניתוחי ברכיים</h3><p class=""procedure-para"">כירורגיה של הברכיים כוללת מגוון התערבויות, מארתרוסקופיה ועד החלפת מפרק מלאה.</p><h3 class=""procedure-head"">התוויות נפוצות</h3><ul class=""procedure-ul""><li class=""procedure-li"">קרע ברצועות (כגון ACL)</li><li class=""procedure-li"">קרעים במניסקוס</li><li class=""procedure-li"">אוסטאוארתריטיס מתקדם</li><li class=""procedure-li"">שברים בברך</li></ul><h3 class=""procedure-head"">תהליך הניתוח</h3><ol class=""procedure-ol""><li class=""procedure-li"">הרדמה (כללית או אזורית)</li><li class=""procedure-li"">גישה כירורגית (פתוחה או ארתרוסקופית)</li><li class=""procedure-li"">תיקון או החלפת הרקמות הפגועות</li><li class=""procedure-li"">סגירה וחבישה</li></ol><h3 class=""procedure-head"">שיקום לאחר ניתוח</h3><p class=""procedure-para"">תהליך השיקום כולל:</p><ul class=""procedure-ul""><li class=""procedure-li"">פיזיותרפיה אינטנסיבית</li><li class=""procedure-li"">תרגילי טווח תנועה וחיזוק</li><li class=""procedure-li"">שימוש באביזרי עזר בהתאם לצורך</li><li class=""procedure-li"">חזרה הדרגתית לפעילות</li></ul></div>","הליכים כירורגיים לטיפול במגוון בעיות בברך, כולל פגיעות ברצועות, קרעים במניסקוס, ושחיקת סחוס.",כירוגיה של הברכיים,92,1759,18,,0
כירורגיה של ארתריטיס,כירורגיה של ארתריטיס,1815,"<div class=""procedure-content""><h3 class=""procedure-head"">מהי כירורגיה של ארתריטיס?</h3><p class=""procedure-para"">כירורגיה של ארתריטיס מתייחסת להתערבויות ניתוחיות לטיפול בדלקת מפרקים מתקדמת.</p><h3 class=""procedure-head"">סוגי ניתוחים</h3><ul class=""procedure-ul""><li class=""procedure-li"">החלפת מפרק מלאה</li><li class=""procedure-li"">החלפת מפרק חלקית</li><li class=""procedure-li"">ארתרוסקופיה לניקוי המפרק</li><li class=""procedure-li"">היישור עצמות (אוסטאוטומיה)</li></ul><h3 class=""procedure-head"">שיקולים לפני ניתוח</h3><ol class=""procedure-ol""><li class=""procedure-li"">חומרת הארתריטיס</li><li class=""procedure-li"">גיל המטופל ומצבו הכללי</li><li class=""procedure-li"">השפעת המחלה על איכות החיים</li><li class=""procedure-li"">יעילות טיפולים שמרניים</li></ol><h3 class=""procedure-head"">תהליך ההחלמה</h3><p class=""procedure-para"">ההחלמה לאחר ניתוח כוללת:</p><ul class=""procedure-ul""><li class=""procedure-li"">טיפול בכאב</li><li class=""procedure-li"">פיזיותרפיה אינטנסיבית</li><li class=""procedure-li"">שימוש באביזרי עזר</li><li class=""procedure-li"">מעקב רפואי צמוד</li></ul></div>","כירורגיה של ארתריטיס מציעה פתרונות לשלבים מתקדמים של דלקת מפרקים. מטרת הניתוח היא להפחית כאב, לשפר תנועתיות ולשקם את תפקוד המפרק.",כירורגיה של ארתריטיס,129,1815,20,,0
כירורגיית כף רגל וקרסול,כירורגיית כף רגל וקרסול,1827,"<div class=""procedure-content""><h3 class=""procedure-head"">תחומי כירורגיית כף רגל וקרסול</h3><p class=""procedure-para"">כירורגיה זו מטפלת במגוון בעיות מבניות ופגיעות בכף הרגל והקרסול.</p><h3 class=""procedure-head"">ניתוחים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">תיקון הלוקס ואלגוס (בליטה בבוהן)</li><li class=""procedure-li"">ארתרודזיס (קיבוע מפרק)</li><li class=""procedure-li"">שחזור רצועות הקרסול</li><li class=""procedure-li"">תיקון שברים בכף הרגל או הקרסול</li></ul><h3 class=""procedure-head"">הכנה לניתוח</h3><ol class=""procedure-ol""><li class=""procedure-li"">הערכה רפואית מקיפה</li><li class=""procedure-li"">בדיקות הדמיה מתקדמות</li><li class=""procedure-li"">דיון על ציפיות ותוצאות אפשריות</li><li class=""procedure-li"">הנחיות לפני ואחרי הניתוח</li></ol><h3 class=""procedure-head"">שיקום פוסט-ניתוחי</h3><p class=""procedure-para"">תהליך השיקום עשוי לכלול:</p><ul class=""procedure-ul""><li class=""procedure-li"">תקופת אי-דריכה או דריכה חלקית</li><li class=""procedure-li"">פיזיותרפיה ממוקדת</li><li class=""procedure-li"">שימוש בנעליים מיוחדות או סדים</li><li class=""procedure-li"">תרגילי טווח תנועה וחיזוק הדרגתיים</li></ul></div>","ניתוחים לתיקון בעיות בכף הרגל והקרסול, כולל דפורמציות, שברים, ובעיות ברקמות רכות. מטרתם לשפר תפקוד ולהפחית כאב.",כירורגיית כף רגל וקרסול,111,1827,23,,0
כירורגית כף היד/כתף/מרפק/זריקות,כירורגית כף היד/כתף/מרפק/זריקות,1833,"<div class=""procedure-content""><h3 class=""procedure-head"">תחומי התמחות</h3><p class=""procedure-para"">כירורגיה זו מתמקדת בטיפול בבעיות של הגפיים העליונות, מכף היד ועד הכתף.</p><h3 class=""procedure-head"">סוגי התערבויות</h3><ul class=""procedure-ul""><li class=""procedure-li"">ניתוחי כף יד (תסמונת התעלה הקרפלית, דופויטרן)</li><li class=""procedure-li"">ארתרוסקופיה של הכתף והמרפק</li><li class=""procedure-li"">תיקון קרעים ברוטטור קאף</li><li class=""procedure-li"">החלפת מפרקים (כתף, מרפק)</li></ul><h3 class=""procedure-head"">זריקות טיפוליות</h3><ol class=""procedure-ol""><li class=""procedure-li"">זריקות קורטיקוסטרואידים</li><li class=""procedure-li"">זריקות חומצה היאלורונית</li><li class=""procedure-li"">זריקות PRP (פלזמה עשירה בטסיות)</li><li class=""procedure-li"">זריקות בוטולינום טוקסין</li></ol><h3 class=""procedure-head"">שיקום ומעקב</h3><p class=""procedure-para"">לאחר הניתוח או הזריקות:</p><ul class=""procedure-ul""><li class=""procedure-li"">תכנית פיזיותרפיה מותאמת אישית</li><li class=""procedure-li"">הגבלת פעילות זמנית לפי הצורך</li><li class=""procedure-li"">תרגילי טווח תנועה וחיזוק הדרגתיים</li><li class=""procedure-li"">מעקב רפואי לבדיקת התקדמות</li></ul></div>","ניתוחים וטיפולים במפרקי הגפיים העליונות, כולל תיקון פגיעות, שחזור מפרקים, וטיפול בדלקות באמצעות זריקות.",כירורגית כף היד/כתף/מרפק/זריקות,103,1833,31,,0
כף רגל סוכרתית,כף רגל סוכרתית,1850,"<div class=""procedure-content""><h3 class=""procedure-head"">מהי כף רגל סוכרתית?</h3><p class=""procedure-para"">כף רגל סוכרתית היא מצב בו סוכרת גורמת לפגיעה עצבית ווסקולרית בכפות הרגליים, מה שמוביל לסיבוכים חמורים.</p><h3 class=""procedure-head"">סיבוכים נפוצים</h3><ul class=""procedure-ul""><li class=""procedure-li"">כיבים שאינם מחלימים</li><li class=""procedure-li"">זיהומים</li><li class=""procedure-li"">עיוותים מבניים</li><li class=""procedure-li"">גנגרנה במקרים חמורים</li></ul><h3 class=""procedure-head"">אבחון וטיפול</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקות רגישות ודופק בכף הרגל</li><li class=""procedure-li"">הדמיה: רנטגן, MRI, אנגיוגרפיה</li><li class=""procedure-li"">טיפול בפצעים וכיבים</li><li class=""procedure-li"">טיפול אנטיביוטי בזיהומים</li></ol><h3 class=""procedure-head"">מניעה וטיפול מתמשך</h3><p class=""procedure-para"">ניהול כף רגל סוכרתית כולל:</p><ul class=""procedure-ul""><li class=""procedure-li"">איזון רמות הסוכר בדם</li><li class=""procedure-li"">בדיקות יומיות של כפות הרגליים</li><li class=""procedure-li"">נעליים מותאמות אישית</li><li class=""procedure-li"">טיפול פודיאטרי קבוע</li></ul></div>","טיפול בכף רגל סוכרתית מתמקד במניעת סיבוכים, טיפול בפצעים וכיבים, ושמירה על תפקוד כף הרגל. חשובה מאוד מודעות המטופל ומעקב רפואי צמוד.",כף רגל סוכרתית,132,1850,14,,0
כף רגל סוסנית,כף רגל סוסנית,1851,"<div class=""procedure-content""><h3 class=""procedure-head"">מהי כף רגל סוסנית?</h3><p class=""procedure-para"">כף רגל סוסנית היא מצב בו כף הרגל מוטה כלפי מטה וכלפי פנים, בדרך כלל כתוצאה מבעיה עצבית או שרירית.</p><h3 class=""procedure-head"">תסמינים</h3><ul class=""procedure-ul""><li class=""procedure-li"">קושי בהרמת כף הרגל בזמן הליכה</li><li class=""procedure-li"">הליכה על קצות האצבעות</li><li class=""procedure-li"">שחיקה לא אחידה של הנעליים</li><li class=""procedure-li"">כאבים ועייפות ברגל</li></ul><h3 class=""procedure-head"">אבחון</h3><ol class=""procedure-ol""><li class=""procedure-li"">בדיקה גופנית מקיפה</li><li class=""procedure-li"">הערכת דפוס הליכה</li><li class=""procedure-li"">בדיקות הדמיה: רנטגן, MRI</li><li class=""procedure-li"">בדיקות עצביות במידת הצורך</li></ol><h3 class=""procedure-head"">טיפול</h3><p class=""procedure-para"">אפשרויות הטיפול כוללות:</p><ul class=""procedure-ul""><li class=""procedure-li"">פיזיותרפיה ותרגילי חיזוק</li><li class=""procedure-li"">שימוש בסדים או מכשירי הליכה</li><li class=""procedure-li"">טיפול תרופתי לשיפור תפקוד העצבים</li><li class=""procedure-li"">ניתוח במקרים חמורים או עמידים לטיפול שמרני</li></ul></div>","טיפול בסיבוכי סוכרת בכף הרגל, כולל פצעים, זיהומים, ובעיות עצביות. מתמקד במניעת אמפוטציות ושמירה על תפקוד הרגל.",כף רגל סוסנית,110,1851,13,,0
